sekunda,plama_px,plam,tlo_px,zapisana
133.8,237,2,262,1
134.0,224,2,0,1
134.2,0,0,0,0
134.5,0,0,0,0
134.8,0,0,253,0
135.0,0,0,0,0
135.2,0,0,0,0
135.5,0,0,0,0
135.8,0,0,211,0
136.0,0,0,0,0
136.2,0,0,0,0
136.5,0,0,0,0
136.8,0,0,130,0
137.0,0,0,0,0
137.2,0,0,0,0
137.5,0,0,0,0
137.8,0,0,243,0
138.0,0,0,0,0
138.2,0,0,0,0
138.5,0,0,0,0
138.8,0,0,233,0
139.0,0,0,0,0
139.2,0,0,0,0
139.5,0,0,0,0
139.8,0,0,95,0
140.0,0,0,0,0
140.2,0,0,0,0
140.5,0,0,0,0
140.8,0,0,269,0
141.0,0,0,0,0
141.2,0,0,0,0
141.5,0,0,0,0
141.8,0,0,213,0
142.0,0,0,0,0
142.2,0,0,0,0
142.5,0,0,0,0
142.8,0,0,86,0
143.0,0,0,0,0
143.2,0,0,0,0
143.5,0,0,0,0
143.8,0,0,376,0
144.0,0,0,0,0
144.2,0,0,0,0
144.5,0,0,0,0
144.8,0,0,252,0
145.0,0,0,0,0
145.2,0,0,0,0
145.5,0,0,0,0
145.8,0,0,211,0
146.0,0,0,0,0
146.2,0,0,0,0
146.5,0,0,0,0
146.8,0,0,136,0
147.0,0,0,0,0
147.2,0,0,0,0
147.5,0,0,0,0
147.8,0,0,245,0
148.0,0,0,0,0
148.2,0,0,0,0
148.5,0,0,0,0
148.8,0,0,233,0
149.0,0,0,0,0
149.2,0,0,0,0
149.5,0,0,0,0
149.8,0,0,95,0
150.0,0,0,0,0
150.2,0,0,0,0
150.5,0,0,0,0
150.8,0,0,274,0
151.0,0,0,0,0
151.2,0,0,0,0
151.5,0,0,0,0
151.8,0,0,214,0
152.0,0,0,0,0
152.2,0,0,0,0
152.5,0,0,0,0
152.8,0,0,93,0
153.0,0,0,0,0
153.2,0,0,0,0
153.5,0,0,0,0
153.8,0,0,377,0
154.0,0,0,0,0
154.2,0,0,0,0
154.5,0,0,0,0
154.8,0,0,245,0
155.0,0,0,0,0
155.2,0,0,0,0
155.5,0,0,0,0
155.8,0,0,209,0
156.0,0,0,0,0
156.2,0,0,0,0
156.5,0,0,0,0
156.8,0,0,136,0
157.0,0,0,0,0
157.2,0,0,0,0
157.5,0,0,0,0
